LAST SEEN   TYPE      REASON              OBJECT                                         MESSAGE
15m         Normal    Valid               secretstore/yandex-cloud-lockbox-store         store validated
16m         Normal    Updated             externalsecret/cloud-app-secrets-lockbox       secret updated
54m         Normal    Scheduled           pod/demo-cloud-lockbox-env-57ffb577f7-2b46b    Successfully assigned secrets-lab/demo-cloud-lockbox-env-57ffb577f7-2b46b to <YANDEX_MKS_NODE_OR_CLUSTER_ID>
54m         Normal    ScalingReplicaSet   deployment/demo-cloud-lockbox-env              Scaled up replica set demo-cloud-lockbox-env-57ffb577f7 from 0 to 1
54m         Normal    SuccessfulCreate    replicaset/demo-cloud-lockbox-env-57ffb577f7   Created pod: demo-cloud-lockbox-env-57ffb577f7-2b46b
54m         Normal    Pulled              pod/demo-cloud-lockbox-env-57ffb577f7-2b46b    Container image "busybox:1.36" already present on machine
54m         Normal    Created             pod/demo-cloud-lockbox-env-57ffb577f7-2b46b    Created container: app
54m         Normal    Started             pod/demo-cloud-lockbox-env-57ffb577f7-2b46b    Started container app
54m         Normal    Killing             pod/demo-cloud-lockbox-env-6847986c5c-r82bm    Stopping container app
54m         Normal    SuccessfulDelete    replicaset/demo-cloud-lockbox-env-6847986c5c   Deleted pod: demo-cloud-lockbox-env-6847986c5c-r82bm
54m         Normal    ScalingReplicaSet   deployment/demo-cloud-lockbox-env              Scaled down replica set demo-cloud-lockbox-env-6847986c5c from 1 to 0
53m         Normal    SuccessfulCreate    replicaset/demo-cloud-lockbox-env-5859c89d69   Created pod: demo-cloud-lockbox-env-5859c89d69-dcqrf
53m         Normal    ScalingReplicaSet   deployment/demo-cloud-lockbox-env              Scaled up replica set demo-cloud-lockbox-env-5859c89d69 from 0 to 1
53m         Normal    Scheduled           pod/demo-cloud-lockbox-env-5859c89d69-dcqrf    Successfully assigned secrets-lab/demo-cloud-lockbox-env-5859c89d69-dcqrf to <YANDEX_MKS_NODE_OR_CLUSTER_ID>
53m         Normal    Pulled              pod/demo-cloud-lockbox-env-5859c89d69-dcqrf    Container image "busybox:1.36" already present on machine
53m         Normal    Created             pod/demo-cloud-lockbox-env-5859c89d69-dcqrf    Created container: app
53m         Normal    Started             pod/demo-cloud-lockbox-env-5859c89d69-dcqrf    Started container app
53m         Normal    SuccessfulDelete    replicaset/demo-cloud-lockbox-env-57ffb577f7   Deleted pod: demo-cloud-lockbox-env-57ffb577f7-2b46b
53m         Normal    ScalingReplicaSet   deployment/demo-cloud-lockbox-env              Scaled down replica set demo-cloud-lockbox-env-57ffb577f7 from 1 to 0
53m         Normal    Killing             pod/demo-cloud-lockbox-env-57ffb577f7-2b46b    Stopping container app
45m         Normal    Pulled              pod/demo-cloud-lockbox-env-58cc775d9d-lr8xb    Container image "busybox:1.36" already present on machine
45m         Normal    SuccessfulCreate    replicaset/demo-cloud-lockbox-env-58cc775d9d   Created pod: demo-cloud-lockbox-env-58cc775d9d-lr8xb
45m         Normal    Scheduled           pod/demo-cloud-lockbox-env-58cc775d9d-lr8xb    Successfully assigned secrets-lab/demo-cloud-lockbox-env-58cc775d9d-lr8xb to <YANDEX_MKS_NODE_OR_CLUSTER_ID>
45m         Normal    Started             pod/demo-cloud-lockbox-env-58cc775d9d-lr8xb    Started container app
45m         Normal    Created             pod/demo-cloud-lockbox-env-58cc775d9d-lr8xb    Created container: app
45m         Normal    ScalingReplicaSet   deployment/demo-cloud-lockbox-env              Scaled up replica set demo-cloud-lockbox-env-58cc775d9d from 0 to 1
45m         Normal    SuccessfulDelete    replicaset/demo-cloud-lockbox-env-5859c89d69   Deleted pod: demo-cloud-lockbox-env-5859c89d69-dcqrf
45m         Normal    Killing             pod/demo-cloud-lockbox-env-5859c89d69-dcqrf    Stopping container app
45m         Normal    ScalingReplicaSet   deployment/demo-cloud-lockbox-env              Scaled down replica set demo-cloud-lockbox-env-5859c89d69 from 1 to 0
20m         Warning   UpdateFailed        externalsecret/cloud-app-secrets-lockbox       error processing spec.data[0] (key: <YANDEX_LOCKBOX_ID>), err: unable to request secret payload to get secret: rpc error: code = PermissionDenied desc = Permission denied
4m29s       Normal    Valid               secretstore/yandex-cloud-lockbox-store         store validated
